latitude,longitude
25,-80.04697987
25,-79.65100671
25,-79.25503356
25,-78.8590604
25,-78.46308725
25,-78.06711409
25,-77.67114094
25,-77.27516779
25,-76.87919463
25,-76.48322148
25,-76.08724832
25,-75.69127517
25,-75.29530201
25,-74.89932886
25,-74.5033557
25,-74.10738255
25,-73.7114094
25,-73.31543624
25,-72.91946309
25,-72.52348993
25,-72.12751678
25,-71.73154362
25,-71.33557047
25,-70.93959732
25,-70.54362416
25,-70.14765101
25,-69.75167785
25,-69.3557047
25,-68.95973154
25,-68.56375839
25,-68.16778523
25,-67.77181208
25,-67.37583893
25,-66.97986577
25,-66.58389262
25,-66.18791946
25,-65.79194631
25,-65.39597315
25,-65
25.46938776,-124
25.46938776,-123.6040268
25.46938776,-123.2080537
25.46938776,-122.8120805
25.46938776,-122.4161074
25.46938776,-122.0201342
25.46938776,-121.6241611
25.46938776,-121.2281879
25.46938776,-120.8322148
25.46938776,-120.4362416
25.46938776,-120.0402685
25.46938776,-119.6442953
25.46938776,-119.2483221
25.46938776,-118.852349
25.46938776,-118.4563758
25.46938776,-118.0604027
25.46938776,-117.6644295
25.46938776,-117.2684564
25.46938776,-116.8724832
25.46938776,-116.4765101
25.46938776,-116.0805369
25.46938776,-115.6845638
25.46938776,-115.2885906
25.46938776,-114.8926174
25.46938776,-114.4966443
25.46938776,-114.1006711
25.46938776,-113.704698
25.46938776,-113.3087248
25.46938776,-112.9127517
25.46938776,-112.5167785
25.46938776,-112.1208054
25.46938776,-111.7248322
25.46938776,-111.3288591
25.46938776,-110.9328859
25.46938776,-110.5369128
25.46938776,-110.1409396
25.46938776,-109.7449664
25.46938776,-109.3489933
25.46938776,-108.9530201
25.46938776,-108.557047
25.46938776,-108.1610738
25.46938776,-107.7651007
25.46938776,-107.3691275
25.46938776,-106.9731544
25.46938776,-106.5771812
25.46938776,-106.1812081
25.46938776,-105.7852349
25.46938776,-105.3892617
25.46938776,-104.9932886
25.46938776,-104.5973154
25.46938776,-104.2013423
25.46938776,-103.8053691
25.46938776,-103.409396
25.46938776,-103.0134228
25.46938776,-102.6174497
25.46938776,-102.2214765
25.46938776,-101.8255034
25.46938776,-101.4295302
25.46938776,-101.033557
25.46938776,-100.6375839
25.46938776,-100.2416107
25.46938776,-99.84563758
25.46938776,-99.44966443
25.46938776,-99.05369128
25.46938776,-98.65771812
25.46938776,-98.26174497
25.46938776,-97.86577181
25.46938776,-97.46979866
25.46938776,-97.0738255
25.46938776,-96.67785235
25.46938776,-96.28187919
25.46938776,-95.88590604
25.46938776,-95.48993289
25.46938776,-95.09395973
25.46938776,-94.69798658
25.46938776,-94.30201342
25.46938776,-93.90604027
25.46938776,-93.51006711
25.46938776,-93.11409396
25.46938776,-92.71812081
25.46938776,-92.32214765
25.46938776,-91.9261745
25.46938776,-91.53020134
25.46938776,-91.13422819
25.46938776,-90.73825503
25.46938776,-90.34228188
25.46938776,-89.94630872
25.46938776,-89.55033557
25.46938776,-89.15436242
25.46938776,-88.75838926
25.46938776,-88.36241611
25.46938776,-87.96644295
25.46938776,-87.5704698
25.46938776,-87.17449664
25.46938776,-86.77852349
25.46938776,-86.38255034
25.46938776,-85.98657718
25.46938776,-85.59060403
25.46938776,-85.19463087
25.46938776,-84.79865772
25.46938776,-84.40268456
25.46938776,-84.00671141
25.46938776,-83.61073826
25.46938776,-83.2147651
25.46938776,-82.81879195
25.46938776,-82.42281879
25.46938776,-82.02684564
25.46938776,-81.63087248
25.46938776,-81.23489933
25.46938776,-80.83892617
25.46938776,-80.44295302
25.46938776,-80.04697987
25.46938776,-79.65100671
25.46938776,-79.25503356
25.46938776,-78.8590604
25.46938776,-78.46308725
25.46938776,-78.06711409
25.46938776,-77.67114094
25.46938776,-77.27516779
25.46938776,-76.87919463
25.46938776,-76.48322148
25.46938776,-76.08724832
25.46938776,-75.69127517
25.46938776,-75.29530201
25.46938776,-74.89932886
25.46938776,-74.5033557
25.46938776,-74.10738255
25.46938776,-73.7114094
25.46938776,-73.31543624
25.46938776,-72.91946309
25.46938776,-72.52348993
25.46938776,-72.12751678
25.46938776,-71.73154362
25.46938776,-71.33557047
25.46938776,-70.93959732
25.46938776,-70.54362416
25.46938776,-70.14765101
25.46938776,-69.75167785
25.46938776,-69.3557047
25.46938776,-68.95973154
25.46938776,-68.56375839
