id,name,lat,lon
187,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CABROBÓ/PE,-8.504000,-39.315280
150,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE QUIXERAMOBIM/CE,-5.174568,-39.289393
147,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARBALHA/CE,-7.300925,-39.271107
137,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BELMONTE/BA,-16.088049,-39.215389
134,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VALENÇA/BA,-13.343610,-39.126670
131,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SERRINHA/BA,-11.664586,-39.022946
132,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE EUCLIDES DA CUNHA/BA,-10.537233,-38.996605
155,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JAGUARIBE/CE,-5.905589,-38.627792
191,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FLORESTA/PE,-8.598785,-38.584062
144,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FORTALEZA/CE,-3.815701,-38.537792
140,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JEREMOABO/BA,-10.080700,-38.345900
178,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO GONÇALO/PB,-6.835777,-38.311583
190,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SERRA TALHADA/PE,-7.954277,-38.295082
152,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JAGUARUANA/CE,-4.853511,-37.777189
177,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PATOS/PB,-7.079836,-37.272817
179,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MONTEIRO/PB,-7.894465,-37.124704
184,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARCO VERDE/PE,-8.433544,-37.055477
185,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GARANHUNS/PE,-8.910950,-36.493381
188,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARUARU/PE,-8.236069,-35.985550
175,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPINA GRANDE/PB,-7.225574,-35.904831
186,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SURUBIM/PE,-7.839628,-35.801056
174,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AREIA/PB,-6.975451,-35.718128
181,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMARATUBA/PB,-6.561813,-35.135316
182,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RECIFE/PE,-8.059280,-34.959239
176,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JOÃO PESSOA/PB,-7.165409,-34.815627
228,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO WALTER/AC,-8.267197,-72.747838
227,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRUZEIRO DO SUL/AC,-7.610773,-72.681333
230,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FEIJO/AC,-8.142654,-70.343594
233,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE EIRUNEPÉ/AM,-6.650301,-69.868610
231,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE EPITACIOLANDIA/AC,-11.023752,-68.735180
226,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO BRANCO/AC,-9.957844,-68.165169
249,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S. G. DA CACHOEIRA/AM,-0.125207,-67.061246
235,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LABREA/AM,-7.260681,-64.788501
238,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COARI/AM,-4.097483,-63.145322
236,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE HUMAITA/AM,-7.552520,-63.071343
248,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MANICORÉ/AM,-5.788533,-61.288276
239,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MANACAPURU/AM,-3.294638,-60.628402
246,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PRES. FIGUEIREDO/AM,-2.056558,-60.025756
232,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MANAUS/AM,-3.103682,-60.015461
245,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO URUBU/AM,-2.633654,-59.600582
240,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AUTAZES/AM,-3.583333,-59.129440
241,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITACOATIARA/AM,-3.133333,-58.482780
242,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MAUÉS/AM,-3.399010,-57.673772
243,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARINTINS/AM,-2.639152,-56.756177
258,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PLACAS/PA,-3.864040,-54.216416
250,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE OIAPOQUE/AP,3.813583,-51.862500
253,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACAPA/AP,0.035020,-51.088763
251,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TARTARUGALZINHO/AP,1.496667,-50.916700
257,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PACAJÁ/PA,-3.843701,-50.638098
260,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TOMÉ AÇU/PA,-2.592606,-48.360585
261,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RONDON DO PARÁ/PA,-4.827501,-48.173556
255,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CASTANHAL/PA,-1.300875,-47.947967
211,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GILBUÉS/PI,-9.875196,-45.345805
206,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE URUÇUI/PI,-7.441420,-44.345055
197,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOM JESUS DO PIAUI/PI,-9.083251,-44.326470
201,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALVORADA DO GURGUÉIA/PI,-8.441598,-43.865443
