Nome,Latitude,Longitude,Altitude
Maria da Fé-A531,-22.314567,-45.373049,1.281 
Mocambinho-A539,-15.085958,-44.016036,454 
Montalvânia-A526,-14.408228,-44.404123,520 
Montes Claros-A506,-16.686316,-43.843763,646 
Monte Verde-A509,-22.861604,-46.043365,1.545 
Muriaé-A517,-21.104867,-42.375904,283 
Ouro Branco-A513,-20.556592,-43.756220,1.048 
Passa Quatro-A529,-22.395799,-44.961909,1.017 
Passos-A516,-20.745237,-46.633916,782 
Patos de Minas-A562,-18.520667,-46.440611,950 
Patrocíonio-A523,-18.996684,-46.985935,978 
Pirapora-A545,-17.258064,-44.835600,505 
Pompéu-A560,-19.239555,-45.008187,705 
Rio Pardo de Minas-A551,-15.723139,-42.43575,850 
Sacramento-A525,-19.875271,-47.434102,913 
Salinas-A552,-16.160327,-42.310266,487 
São João del Rei-A514,-21.106502,-44.250928,930 
São Romão-A547,-16.362747,-45.123801,490 
São Sebastião do Paraíso-A561,-20.909892,-47.114259,845 
Serra dos Aimorés-A522,-17.798799,-40.249933,212 
Sete Lagoas-A569,-19.455288,-44.173380,719 
Teófilo Otoni-A527,-17.892840,-41.515423,467 
Timóteo-A511,-19.573824,-42.622413,493 
Três Marias-A528,-18.200855,-45.459836,931 
UBERABA-A568,-19.710028,-47.961889,778 
Uberlândia-A507,-18.917072,-48.255657,875 
Unaí-A542,-16.554101,-46.881935,641 
Varginha-A515,-21.566513,-45.404300,950 
Viçosa-A510,-20.762607,-42.864013,698 
Água Clara-A756,-20.44444,-52.87583,324 
Amambaí-A750,-23.002530,-55.329357,434 
Aquidauana-A719,-20.475420,-55.784006,151 
Bataguassu-A759,-21.750123,-52.471294,392 
Bela Vista-A757,-22.101536,-56.540763,206 
Campo Grande-A702,-20.447195,-54.722615,528 
Cassilândia-A742,-19.122471,-51.720732,495 
Chapadão do Sul-A730,-18.802187,-52.602620,821 
Corumbá-A724,-18.99667,-57.6375,112 
Costa Rica-A760,-18.492665,-53.171261,727 
Coxim-A720,-18.512146,-54.736116,251 
Dourados-A721,-22.193920,-54.911355,463 
Itaquiraí-A752,-23.449501,-54.181858,338 
Ivinhema-A709,-22.300421,-53.822895,377 
Jardim-A758,-21.478529,-56.137717,252 
Juti-A749,-22.857210,-54.605634,375 
Maracaju-A731,-21.609036,-55.177531,389 
Miranda-A722,-20.395530,-56.431736,132 
Nhumirim-A717,-18.988681,-56.622868,102 
Paranaíba-A710,-19.695517,-51.181769,408 
Ponta Porã-A703,-22.552448,-55.716317,668 
Porto Murtinho-A723,-21.705850,-57.886546,79 
Rio Brilhante-A743,-21.774940,-54.528108,324 
