nome-slug,cod,lat,lon,alt,id
marianopolid-do-to,A041,-9.576389,-49.72333,187,294
tucurui,A229,-3.82276,-49.674956,138,265
ituporanga,A863,-27.41841,-49.646874,480,504
pium,A051,-10.476944,-49.629475,161,299
formoso-do-araguaia,A039,-11.887377,-49.608215,215,292
rio-negrinho,A862,-26.248411,-49.580624,857,503
itapaci,A015,-14.979792,-49.539977,551,11
araguacu,A054,-12.592213,-49.528738,231,302
ituiutaba,A512,-18.952907,-49.525072,540,320
campina-verde,A519,-19.53921,-49.518133,559,327
cameta,A236,-2.239653,-49.499827,10,272
ararangua,A867,-28.931353,-49.49792,2,508
bom-jardim-da-serra,A845,-28.126992,-49.47961,1790,495
urussanga,A814,-28.532557,-49.315205,41,490
c-do-araguaia,A241,-8.30361,-49.28277,176,275
indaial,A817,-26.913704,-49.267978,72,493
curitiba,A807,-25.448688,-49.230602,923,424
goiania,ZZZ2,-16.642841,-49.220222,727,4
itumbiara,A035,-18.409761,-49.192061,491,24
morrinhos,A003,-17.745066,-49.101698,751,5
maraba,A240,-5.366447,-49.051166,117,274
gurupi,A019,-11.745782,-49.049703,279,288
rancho-queimado,A870,-27.678507,-49.042027,881,510
bauru,A705,-22.358052,-49.028877,636,393
goianesia,A022,-15.220199,-48.990107,667,14
avare,A725,-23.101749,-48.940997,776,404
itapeva,A714,-23.981918,-48.885818,743,400
ariranha,A736,-21.132937,-48.840426,525,412
santa-marta,A866,-28.604414,-48.813313,34,507
morretes,A873,-25.508935,-48.808681,50,444
morretos,A873,-25.508935,-48.808681,50,511
ibitinga,A737,-21.855567,-48.799717,497,413
santa-fe-do-araguaia,A048,-7.124191,-48.781267,171,297
itajai,A868,-26.950924,-48.762031,10,509
itapoa,A851,-26.081303,-48.641774,6,497
florianopolis,A806,-27.60253,-48.620096,5,489
silvania,A037,-16.679786,-48.618171,952,26
barra-bonita,A741,-22.471205,-48.557573,534,417
barretos,A748,-20.559175,-48.544997,534,421
peixe,A018,-12.015377,-48.544517,251,287
soure,A227,-0.727827,-48.515795,13,264
niquelandia,A004,-14.469358,-48.485756,664,6
belem,A201,-1.411228,-48.439512,21,254
barra-do-turvo,A746,-24.962819,-48.416379,660,419
tome-acu,A213,-2.592606,-48.360585,43,260
ilha-do-mel,A847,-25.494522,-48.326041,4,437
palmas,A009,-10.190744,-48.301811,292,285
pires-do-rio,A033,-17.304153,-48.284131,757,22
uberlandia,A507,-18.917072,-48.255657,875,315
araguaina,A021,-7.103954,-48.201231,231,290
santa-rosa-do-tocantins,A052,-11.429018,-48.184889,306,300
pedro-afonso,A020,-8.968677,-48.177259,190,289
rondon-do-para,A214,-4.827501,-48.173556,203,261
s-mig-arcanjo,A715,-23.852022,-48.164817,676,401
conc-das-alagoas,A520,-19.98586,-48.151574,573,328
ponte-alta-gama,A046,-15.935139,-48.137377,990,3
pradopolis,A747,-21.338432,-48.114007,540,420
araguatins,A044,-5.643725,-48.111839,131,296
luziania,A012,-16.260542,-47.966962,1001,8
castanhal,A202,-1.300875,-47.947967,47,255
catalao,A034,-18.154779,-47.927614,901,23
brasilia,A001,-15.789343,-47.925756,1161,1
sao-carlos,A711,-21.980353,-47.883927,859,397
parana,A010,-12.614893,-47.871917,285,286
ituverava,A753,-20.35976,-47.77522,611,422
aguas-emendadas,A045,-15.596491,-47.625801,1030,2
piracicaba,A726,-22.703132,-47.623317,566,405
cristalina,A036,-16.784896,-47.612966,1211,25
sorocaba,A713,-23.426035,-47.585552,609,399
iguape,A712,-24.671654,-47.545896,3,398
alto-paraiso-goias,A024,-14.133074,-47.523258,1265,16
carolina,A205,-7.337269,-47.459839,183,160
imperatriz,A225,-5.555723,-47.459794,118,171
sacramento,A525,-19.875271,-47.434102,913,333
estreito,A224,-6.653272,-47.418241,183,170
paragominas,A212,-2.990361,-47.407833,113,259
franca,A708,-20.584475,-47.382549,1003,396
salinopolis,A215,-0.618884,-47.356596,23,262
almas,A053,-11.284098,-47.212125,503,301
guarda-mor,A546,-17.561349,-47.199251,997,354
rio-sono,A050,-9.793363,-47.132732,291,298
sao-sebastiao-do-paraiso,A561,-20.909892,-47.114259,845,368
casa-branca,A738,-21.78056,-47.07528,734,414
capitao-poco,A248,-1.734766,-47.0575,79,278
patrocinio,A523,-18.996684,-46.985935,978,331
araxa,A505,-19.605696,-46.949617,1018,313
monte-alegre-goias,A032,-13.253521,-46.890326,551,21
unai,A542,-16.554101,-46.881935,641,350
barueri,A755,-23.52389,-46.86945,777,423
dianopolis,A038,-11.594448,-46.847209,728,291
itapira,A739,-22.415062,-46.805292,635,415
braganca,A226,-1.047258,-46.78579,41,263
campos-lindos,A043,-8.154665,-46.639323,427,295
passos,A516,-20.745237,-46.633916,782,324
sao-paulo,A701,-23.496294,-46.620088,786,392
buriticupu,A238,-4.320597,-46.449503,175,173
buritis,A544,-15.524262,-46.435536,894,352
caldas,A530,-21.918066,-46.382996,1077,338
posse,A017,-14.08921,-46.366497,830,13
grajau,A207,-5.816085,-46.1622,232,162
joao-pinheiro,A553,-17.78477,-46.119394,877,361
monte-verde,A509,-22.861604,-46.043365,1545,317
balsas,A204,-7.455609,-46.027546,271,159
alto-parnaiba,A223,-9.108199,-45.932016,284,169
mateiros,A040,-10.434441,-45.921941,791,293
l-e-magalhaes,A404,-12.152394,-45.829745,761,99
chapada-gaucha,A548,-15.300159,-45.617431,873,356
campos-do-jordao,A706,-22.750231,-45.603836,1663,394
dores-do-indaia,A536,-19.481935,-45.593932,721,344
taubate,A728,-23.041668,-45.520841,582,407
tres-marias,A528,-18.200855,-45.459836,931,336
formiga,A524,-20.45493,-45.453825,878,332
s-luis-do-paraitinga,A740,-23.228362,-45.417055,862,416
varginha,A515,-21.566513,-45.4043,950,323
maria-da-fe,A531,-22.314567,-45.373049,1281,339
turiacu,A219,-1.661224,-45.372571,36,165
gilbues,A364,-9.875196,-45.345805,425,211
barra-do-corda,A221,-5.506782,-45.237053,154,167
formoso-do-rio-preto,A452,-11.0521639,-45.2007694,488,141
sao-romao,A547,-16.362747,-45.123801,490,355
barreiras,A402,-12.124715,-45.027049,474,97
pompeu,A560,-19.239555,-45.008187,705,367
passa-quatro,A529,-22.395799,-44.961909,1017,337
pirapora,A545,-17.258064,-44.8356,505,353
bacabal,A220,-4.243056,-44.794993,22,166
parati,A619,-23.22354,-44.726863,3,382
correntina,A416,-13.332386,-44.617376,552,110
sta-rita-de-cassia,A415,-11.002768,-44.524965,450,109
curvelo,A538,-18.747711,-44.453785,669,346
resende,A609,-22.450924,-44.444786,439,378
florestal,A535,-19.885398,-44.416883,754,343
montalvania,A526,-14.408228,-44.404123,520,334
januaria,A559,-15.44808917,-44.36631333,468,366
urucui,A346,-7.44142,-44.345055,399,206
bom-jesus-do-piaui,A326,-9.083251,-44.32647,296,197
s-j-del-rei,A514,-21.106502,-44.250928,930,322
colinas,A222,-6.033167,-44.233402,175,168
sao-luiz,A203,-2.526771,-44.213577,55,158
