id-ditc,nome-slug,nome-antes,nome,cod,lat,lon,alt,id,name-original,elevação,lat_dms,lon_dms,Igualdade,FuzzySet
51,euclides-da-cunha,Euclides da Cunha-A442,Euclides da Cunha,A442,-10.537233,-38.996605,432 ,132,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE EUCLIDES DA CUNHA/BA,432.00,10°32'S,38°59'W,IGUAL,1
52,feira-de-santana,Feira de Santana-A413,Feira de Santana,A413,-12.196200,-38.967384,230 ,107,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FEIRA DE SANTANA/BA,231.00,12°15'S,38°58'W,IGUAL,1
54,guanambi,Guanambi-A426,Guanambi,A426,-14.2081235,-42.749647,552 ,116,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUANAMBI/BA,882.00,14°12'S,42°44'W,IGUAL,1
55,ibotirama,Ibotirama-A439,Ibotirama,A439,-12.193060,-43.213420,425 ,129,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IBOTIRAMA/BA,430.00,12°11'S,43°12'W,IGUAL,1
56,ilheus,Ilhéus-A410,Ilhéus,A410,-14.658803,-39.181438,80 ,104,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ILHEUS/BA,78.00,14°39'S,39°09'W,IGUAL,1
57,ipiau,Ipiaú-A445,Ipiaú,A445,-14.171304,-39.692502,132 ,135,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPIAU/BA,125.00,14°10'S,39°41'W,IGUAL,1
58,irece,Irecê-A424,Irecê,A424,-11.328998,-41.864504,768 ,114,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IRECÊ/BA,755.00,11°19'S,41°51'W,IGUAL,1
59,itaberaba,Itaberaba-A408,Itaberaba,A408,-12.524062,-40.299714,250 ,103,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITABERABA/BA,249.89,12°31'S,40°17'W,IGUAL,1
60,itamaraju,Itamaraju-A455,Itamaraju,A455,-17.436667,-39.550861,110 ,143,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAMARAJU/BA,110.00,17°43'S,39°55'W,IGUAL,1
61,itapetinga,Itapetinga-A446,Itapetinga,A446,-15.24462,-40.22955,271 ,136,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPETINGA/BA,269.00,15°14'S,40°13'W,IGUAL,1
62,itirucu,Itiruçu-A407,Itiruçu,A407,-13.527828,-40.119752,757 ,102,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITIRUÇÚ/BA,755.61,13°31'S,40°07'W,IGUAL,1
63,jacobina,Jacobina-A440,Jacobina,A440,-11.205136,-40.464979,441 ,130,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JACOBINA/BA,453.00,11°12'S,40°27'W,IGUAL,1
64,jeremoabo,Jeremoabo-A450,Jeremoabo,A450,-10.0807,-38.3459,261 ,140,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JEREMOABO/BA,261.00,10°08'S,38°34'W,IGUAL,1
65,lencois,Lençóis-A425,Lençóis,A425,-12.557854,-41.388808,438 ,115,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LENÇOIS/BA,439.00,12°33'S,41°23'W,IGUAL,1
67,macajuba,Macajuba-A412,Macajuba,A412,-12.131694,-40.354222,339 ,106,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACAJUBA/BA,380.00,12°07'S,40°21'W,IGUAL,1
68,macaubas,Macaúbas-A454,Macaúbas,A454,-13.0389,-42.6172,574 ,142,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACAUBAS/BA,574.00,13°03'S,42°61'W,IGUAL,1
69,marau,Maraú-A438,Maraú,A438,-13.90694,-38.97222,6 ,128,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARAU/BA,10.00,13°54'S,38°58'W,IGUAL,1
70,paulo-afonso,Paulo Afonso-A411,Paulo Afonso,A411,-9.378106,-38.226771,255 ,105,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PAULO AFONSO/BA,252.69,09°22'S,38°13'W,IGUAL,1
71,piata,Piatã-A430,Piatã,A430,-13.155681,-41.774125,1.284 ,120,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIATÃ/BA,1290.00,13°09'S,41°46'W,IGUAL,1
72,pilao-arcado,Pilão Arcado-A449,Pilão Arcado,A449,-10.002261,-42.473641,400 ,139,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PILÃO ARCADO/BA,400.00,10°00'S,42°47'W,IGUAL,1
73,porto-seguro,Porto Seguro-A427,Porto Seguro,A427,-16.388977,-39.182389,86 ,117,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO SEGURO/BA,85.00,16°23'S,39°10'W,IGUAL,1
74,queimadas,Queimadas-A436,Queimadas,A436,-10.984645,-39.617009,310 ,126,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE QUEIMADAS/BA,315.00,10°59'S,39°37'W,IGUAL,1
75,remanso,Remanso-A423,Remanso,A423,-9.625693,-42.077214,397 ,113,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE REMANSO/BA,401.00,09°36'S,42°06'W,IGUAL,1
76,salvador,Salvador-A401,Salvador,A401,-13.005515,-38.505760,48 ,96,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SALVADOR/BA,51.41,13°01'S,38°31'W,IGUAL,1
